metric,n,nunique,min,max,mean,std
price_oi_funding,83,68,-1.0,0.9297531266825034,-0.1688969053396091,0.6876893574458186
basis,83,83,-0.36179742548959415,0.26157306540032227,0.005440046884932438,0.11377014384446998
flows,83,79,-1.0,0.682408172595551,-0.22343758258164192,0.40045125596874254
orderbook,83,65,-1.0,1.0,0.14525804617076696,0.651384584565991
cross,83,83,-0.5509793231820415,0.06955699606128027,-0.2524853853547342,0.12747744536863156
calendar,83,83,-0.7668779070538077,0.5331151057061797,-0.0249346442962164,0.22031387913818426
sentiment,83,40,-0.5,0.59715,-0.06400614457831325,0.4564444312339309
breadth,83,43,-0.92,1.0,-0.006987951807228909,0.712093675222646
stables,83,19,-0.1866666666666683,-0.09333333333333785,-0.1404016064257025,0.019873567786757633
macro,83,5,-1.0,1.0,0.357429718875502,0.7822265707202141
news_score,83,31,-9.0,31.0,6.216867469879518,10.335881371519509
rr25,83,83,-0.09829115397510163,0.037776464625747075,-0.023011896061694122,0.03367486923884068
iv,83,69,0.0,0.5482,0.26259638554216874,0.13859065136333315
overall,83,83,-0.6368867634570146,0.48171155564660684,-0.07299027476655702,0.25523449734752884
profit,83,83,-0.029524541036260957,0.017683100031615655,0.00027429456442569836,0.005024891722935293
